text,source,language,sentiment_label,sentiment_score
"Shubhankar Mishra  जी आपने अपने यूट्यूब वीडियो पर जिस मौलाना की तस्वीर लगाई है वो पाकिस्तान का कोई आतंकी नही, बल्कि इंडिया के प्रसिद्ध बा इज्जत शहरी हज़रत
Maulana Abutalib Rahmani हैं।",youtube,hi,NEGATIVE,0.3195666968822479
🥹🥹इतिहास लिखा जाएगा ऑपरेशन सिंदूर 🙏🏿🙏🏿🎉🎉🎉,youtube,hi,POSITIVE,0.3019274175167084
""" ایک چٹکی ""سندور"" کی قیمت تم کیا جانو مودی""
6 طیارے ، ایک ڈرون طیارہ ، متعدد چیک پوسٹس ، دو ایئربیس، 11 قیدی اور بہت کچھ۔ الحمدللہ",youtube,ur,NEGATIVE,0.7060115337371826
Modi duniya k samny hath joor raha hy Pakistan ko roko,youtube,id,NEGATIVE,0.4091413617134094
Phir Mazak 😅,youtube,tr,NEUTRAL,0.24153710901737213
Ap ma itni jurat nhi ha such bol sko apni awam ko jhot bol ky gunrah krty ho pori diunia ma india ki beizti ho rhi ha 5 jhaz tbha kr diy 3 rafail😂😂😂😂,youtube,id,NEGATIVE,0.37055662274360657
Love you all ❤❤,youtube,fr,POSITIVE,0.8902966976165771
 @shubhankarmishraofficial   beta Sach bol,youtube,en,NEGATIVE,0.39061278104782104
Aray ya kn si film dekh kr aya h😂,youtube,tr,NEGATIVE,0.31220635771751404
"USA or Isreal pr hi india ki sari dunya h isreal jo daily lakho masum bachao ko shahid kr rha h, aase hi log tumra sat de gye",youtube,id,NEGATIVE,0.35299599170684814
JAI SHREE RAM from Pakistan 😢JAI hind JAI bharat Mata ki Jai I am living in Saudi Arabia for doing job ❤but Iove Indian army ❤,youtube,id,POSITIVE,0.23672018945217133
"How can Indian media lie so much? I don't understand. I'm from Kashmir, Pakistan. And I'm shocked how Indians become so foolish, deceived by their own media.""
Have courage to condemn that first your gov plan phalgam and now this drama....
Y ak naye film ka title ho skta hy lkn koi sucsefull strike ni😂😂😂",youtube,en,NEGATIVE,0.7263208031654358
"Sitting in AC rooms in Delhi and Mumbai and shouting 'war, war' is easy — because the first line of defence is Jammu & Kashmir — we will die, we will be cut down.

The whole of India's keyboard warriors are celebrating on one side — on the other side, all of Jammu & Kashmir is staying awake!

Only the border knows what war is.""


😢😢",youtube,en,POSITIVE,0.3449608385562897
Jai hind Jai bharat,youtube,id,NEUTRAL,0.26472005248069763
https://youtu.be/gPp4CZxmBhY,youtube,unknown,POSITIVE,0.2367241531610489
कौन कौन opreration sindoor से खुशी है  ( बबुआ पाकिस्तान😂 ) मोदी है तो मुमकिन है जय मोदी 🚩🇮🇳🇮🇳,youtube,hi,NEGATIVE,0.3571065664291382
कौन कौन opreration sindoor से खुशी है  ( बबुआ पाकिस्तान😂 ) मोदी है तो मुमकिन है जय मोदी 🚩🇮🇳🇮🇳,youtube,hi,NEGATIVE,0.3571065664291382
Blind nationalism should never be above truth and justice. Innocent blood is not a victory.,youtube,en,NEGATIVE,0.6497992277145386
6:14 ​ 6:14 6:14 6:14,youtube,unknown,POSITIVE,0.23950433731079102
Ghazwa e Hind zindabad.,youtube,sw,NEGATIVE,0.2824089825153351
Jai hind 🙏🙏👏👏👏👏👍👍👍👍,youtube,sw,NEUTRAL,0.24159999191761017
Hame Apne bharat pe Garv hai,youtube,en,NEGATIVE,0.31944477558135986
 @SalmanKhokhar-q5t  सपने मे गिरा है 😁😁😁😁,youtube,hi,NEGATIVE,0.35424351692199707
@khhuzaifa91  सपना देखना बंद करो। सूरज निकल गया है😆😆😆,youtube,hi,NEGATIVE,0.5639610290527344
The tea was fantastic,youtube,en,POSITIVE,0.7152736783027649
Godi Media,youtube,cy,POSITIVE,0.3028101623058319
😊,youtube,unknown,POSITIVE,0.3085777759552002
"​ @SalmanKhokhar-q5t  Nai wo thorii btaana, bss without proofs without any pictures Bolte rehne do inke , enjoy kroo 😂",youtube,en,POSITIVE,0.48560068011283875
Jhaanth ka Bal kuchh bhi nahin hua Pakistan ka.. Indian Hindu ko kyon Badnaam Kar Raha Hai kyon bevkuf banaa raha hai kuchh bhi nahin hua,youtube,id,NEGATIVE,0.6190520524978638
Hame pok chahiye isse Kam nahi chalega,youtube,sw,NEUTRAL,0.3073897659778595
 @shubhankarmishraofficial  5 jet ghir gye wo kon bataye ga busdil log 🤣🤣🤣,youtube,so,NEGATIVE,0.4074972867965698
Aap sb se ek apil hai bs hamari jankari jada tv par na dikhye plz ise dushman sachet ho jaye ga me aap ko batane wali bahut chhoti hu par plz,youtube,id,NEGATIVE,0.4313119351863861
dushman ho per ap logo ki tarah beghrit na ho. shame on you india walo,youtube,id,NEGATIVE,0.6283158659934998
Tum 🐕 la ho​ @BHARAT0502 ,youtube,pt,POSITIVE,0.3480302095413208
​ @SahebAli-s6o chand se phle agr alla hein to phir chand ko dekh kar eid Q manate ho...,youtube,en,NEGATIVE,0.4175316393375397
Bhai aap pura trailar movie ki tarah news padh rahe ho❤❤❤❤❤❤❤ love you sir ...I am big big fan sir,youtube,id,POSITIVE,0.7320860624313354
Pakistan ko modern history me pada jayenga ki Pakistan ek desh tha jise India ne khatm kr diya operation sindoor ke jariye😂😂😂,youtube,id,NEGATIVE,0.295774906873703
​ @BHARAT0502 right 👍,youtube,en,POSITIVE,0.4200555980205536
Sir Maza Aya Aap Ki Army Na Haar Man li 😂😂,youtube,sw,NEUTRAL,0.27631136775016785
Ya To Trailer Tha Picture Abhi Baki Ha 😂😂😂😂😂😂😂😂,youtube,tr,NEGATIVE,0.28573140501976013
Operation sindur successful,youtube,it,POSITIVE,0.4677425026893616
Ab hum karyge rdx kahan gaya 😅,youtube,so,NEUTRAL,0.2458925098180771
@MuhammadarfatMuhammadarfat  😂,youtube,id,POSITIVE,0.4188346862792969
Jo Bole So Nihal........,youtube,en,NEGATIVE,0.5140954256057739
@MonicasSmallWorld  Allah Akbar,youtube,en,POSITIVE,0.619672417640686
 @humhinduhein1638   Kioun Kay ALLAH ka Hukum ha,youtube,sw,NEGATIVE,0.3970777690410614
😂​ @VivekSingh-qr6me ,youtube,sq,POSITIVE,0.4254732131958008
​ @BHARAT0502 ek dam barabarb,youtube,id,POSITIVE,0.34945544600486755
​ @SalmanKhokhar-q5t 5 jets Indians or Mishra dono Ki naslayn yaad rakhyn gi 😂😂,youtube,so,NEGATIVE,0.3738471567630768
😅😅​@Kakabhaidesilife,youtube,et,POSITIVE,0.3934222161769867
White falg😂,youtube,en,POSITIVE,0.24715958535671234
Where is your rafeeel,youtube,en,NEGATIVE,0.23476147651672363
😂😂Abe tum log kon se kapti nhi he ​ @RayyanahmedYousafzai ,youtube,id,NEGATIVE,0.5561403036117554
Pakistan zindabad,youtube,id,NEGATIVE,0.3425213098526001
Anbakhto,youtube,tl,NEUTRAL,0.24382375180721283
"Opretion ""feku""😅😅😅😅😅",youtube,sq,NEUTRAL,0.2667679786682129
Ary tum log To Hamla Karny ky Baad Hi White Flag Leh raha dia tha Dar gae Jang karny ati nahi Ahy ho Pakistan ky Khilaf bolny Pakistan ny 5 taiyary khaq kar diye hain Modi ki phat kar hath mai aha gae hai 😂😂,youtube,id,NEGATIVE,0.5246109366416931
Before being too happy and excited let me tell you people one news more than 10 people in poonch lost their life in cross border firing...so calm down we border area people are suffering a lot when you people and taking classes and studying for jobs we are sitting in tensions,youtube,en,NEGATIVE,0.42703860998153687
"Stop being over exciting ""All eyes on poonch, All eyes on Border people """,youtube,en,POSITIVE,0.24996262788772583
"Beautiful n suitable name Sindur operation, jai hind.",youtube,fr,POSITIVE,0.582692563533783
"L mom
Zee😅😅😮😢 3:25 ​ @SalmanKhokhar-q5t ",youtube,ca,POSITIVE,0.3216298818588257
Yes Absolutely right sir ji jai hind jai bharat i love sir ji 😘🧡🤍💚🇮🇳🇮🇳🇮🇳❤👍👏👏,youtube,fi,POSITIVE,0.866886556148529
Kya haal hai Bhai 🇮🇳🇮🇳🇮🇳🇮🇳🇮🇳🌎🌎🌎🌎🌎❤🇱🇷🇺🇸🪔,youtube,sw,NEGATIVE,0.3506071865558624
​ @SalmanKhokhar-q5t  Bahi wo batye gy to ijazat Chali jaye giii indai walo ki..,youtube,so,NEGATIVE,0.25747278332710266
Pakistan zindabad Pakistan zindabad,youtube,id,NEGATIVE,0.3307347297668457
India baney gaaa Pakistan,youtube,id,NEGATIVE,0.2606259286403656
@Sandipsharma-bhai  line of control py Ap ki fooj NY  white jhanda lahra deya ha missing sedhor ki Kiya qimat aunho NY Adda ki pata kro Zara widwa ho gai han😂😂  pak army zindabad 💪🇵🇰,youtube,id,NEGATIVE,0.5457816123962402
 @shubhankarmishraofficial  TU bus Apne view zayeda Karne k Liye Bolta hai bus,youtube,en,NEGATIVE,0.5575395226478577
"​ @SahebAli-s6o pahle jakr ap itihas padh le,aalah k hukumt wale, ye Bharat h jisko mughalo ne aa kr Hindustan bhi bnaya",youtube,so,NEGATIVE,0.4357820451259613
" @shubhankarmishraofficial  @Jim Mi:Lattest News：
5 fighter jets
15 posts
1 airbase
2 headquarters
were destroyed by Pakistan.😘",youtube,en,NEGATIVE,0.5949333906173706
Indian army LOC per kela kha gai safed jhanda lehra diya ha apke 5 jets bhi gir gaye ha.India walo apne CNIC per apne abo ka naam Pakistan likhwa lo,youtube,id,NEGATIVE,0.5437358021736145
 @shubhankarmishraofficial   😂Operation walima during shot down Rafile fighter jets cost of jets $956M 😂😂,youtube,en,NEGATIVE,0.5086608529090881
@Sipu0987  Acha . Vesy faranc val. Ko pata chal geya ha k aun ka jet Pakistan NY mar geraya ha or mery pas video bhi ha Ap ki tasali k leya,youtube,id,NEGATIVE,0.5322078466415405
😅😅😅😅,youtube,unknown,POSITIVE,0.3085777759552002
Hiraaan hun me iski bakwas sun sun k yr kitny pagal log hain jo iski btain sun ry jbky sb smny a,youtube,id,NEGATIVE,0.40152406692504883
Salute to Indian army❤🥶🥶🥶,youtube,en,POSITIVE,0.5729635953903198
Beta Reports Sahi Le Kr betha kr wrna teri bht buri halt ho skti hai,youtube,sv,NEGATIVE,0.6165003180503845
Iss operation mein pakistan ko pey kar India ke rang mein rang kar naya naam diya jaye toh behtar hoga oo har satru ke liye jinko India se problem hai,youtube,id,NEGATIVE,0.5643109083175659
